id,name,rating,review_count,open_pass_midnight,state,cuisine
Alq05GK58uFX_c3JwhyN7w,The Grill @ Roc Bar,1.0,1,True,DC,Soul Food
AtDKS1oTE_NQEqeymVo2rg,Manny & Olga's Pizza,2.0,24,False,DC,Pizza
AtOTiYnU-BWXKOKqBDK51g,Papa John's Pizza,2.5,43,False,DC,Pizza
AxWA98THdvcgr_tmuC1kLA,Yum's Carry Out,2.0,5,False,DC,Fast Food
AyfkWVvG4tHpXcMWneOTpg,Chercher Ethiopian Restaurant & Mart,4.5,377,False,DC,Ethiopian
B-NQjTjaIPURVtpUQe0-3w,The Pig,4.0,1723,False,DC,American (Traditional)
B-NQjTjaIPURVtpUQe0-3w,The Pig,4.0,1723,False,DC,Cocktail Bars
B-Xf-iZmbvFA6ipTJRe8xQ,Karma,2.5,10,False,DC,Middle Eastern
B-Xf-iZmbvFA6ipTJRe8xQ,Karma,2.5,10,False,DC,Bars
B0pOX_jGkU1u5U2T4ekUkg,Masala Art,3.5,216,True,DC,Indian
B2p1hYs004_NLHekFAj-nQ,Marcel's by Robert Wiedmaier,4.5,471,False,DC,French
B52-jAHJoKFaYN2V8job-A,Subway,3.5,9,False,DC,Sandwiches
B52-jAHJoKFaYN2V8job-A,Subway,3.5,9,False,DC,Fast Food
B5RxCoQ17oyeZJ1ayjbQ9w,XII,1.0,1,False,DC,American (New)
BBPum8IlCncWvZu-DKy2pw,Moon Star Carry-Out,3.0,4,True,DC,Chinese
BByQsrcy9u3-na2uw04HTg,Subway,3.0,11,False,DC,Sandwiches
BByQsrcy9u3-na2uw04HTg,Subway,3.0,11,False,DC,Fast Food
BCsYq-I0vxPYK8qZXLz07Q,High Street Cafe,4.5,34,False,DC,American (Traditional)
BCsYq-I0vxPYK8qZXLz07Q,High Street Cafe,4.5,34,False,DC,Bars
BCsYq-I0vxPYK8qZXLz07Q,High Street Cafe,4.5,34,False,DC,Cafes
BCvPXMqXisCDcyvDiSatiA,Subway,3.0,10,False,DC,Sandwiches
BCvPXMqXisCDcyvDiSatiA,Subway,3.0,10,False,DC,Fast Food
BDWCOnWiP0HOIQgeOpxNCg,Buca di Beppo Italian Restaurant,3.0,355,False,DC,Italian
BGE-rOgnG63f2RDm41Ug-g,The Dabney Cellar,4.5,33,False,DC,Bars
BGE-rOgnG63f2RDm41Ug-g,The Dabney Cellar,4.5,33,False,DC,American (New)
BGsdpekF65U0Xpy1SBdMJg,The George Town Club,4.0,6,False,DC,Diners
BGsdpekF65U0Xpy1SBdMJg,The George Town Club,4.0,6,False,DC,Coffee & Tea
BHtU4VinhNquMM2NAhFu3Q,Shouk,4.5,65,False,DC,Middle Eastern
BHtU4VinhNquMM2NAhFu3Q,Shouk,4.5,65,False,DC,Salad
BHtU4VinhNquMM2NAhFu3Q,Shouk,4.5,65,False,DC,Beer Bar
BJ8ebyxBUp2a6qNFTAM17A,Potbelly Sandwich Shop,2.5,32,False,DC,Sandwiches
BJ8ebyxBUp2a6qNFTAM17A,Potbelly Sandwich Shop,2.5,32,False,DC,Fast Food
BJ8ebyxBUp2a6qNFTAM17A,Potbelly Sandwich Shop,2.5,32,False,DC,Salad
BJBZv28ev7tNJOaXq-LPqA,Chipotle Mexican Grill,1.5,45,False,DC,Mexican
BJBZv28ev7tNJOaXq-LPqA,Chipotle Mexican Grill,1.5,45,False,DC,Fast Food
BMdU03-ZYRA-Efgk45GJ_Q,Smarktafe Capitol Hill,2.0,1,False,DC,American (Traditional)
BNhWKpKD-ZBxnIAHw3bXWQ,Windows Cafe & Market,2.5,103,False,DC,Sandwiches
BNhWKpKD-ZBxnIAHw3bXWQ,Windows Cafe & Market,2.5,103,False,DC,Coffee & Tea
BPOES_VaXh4JFZQHSacoBQ,Bossa,3.5,113,True,DC,Lounges
BPZSoOGfUCLLRQ8mc_5ZPw,Sticky Fingers Sweets & Eats,4.0,876,False,DC,Bakeries
BPZSoOGfUCLLRQ8mc_5ZPw,Sticky Fingers Sweets & Eats,4.0,876,False,DC,Vegan
BPZSoOGfUCLLRQ8mc_5ZPw,Sticky Fingers Sweets & Eats,4.0,876,False,DC,Coffee & Tea
BQLHxikGzQDKGZa6q5pnYw,Papa John's Pizza,1.5,54,True,DC,Pizza
BRbL-mlsptkVp555Dun_6w,Ivy City SmokeHouse,4.0,469,True,DC,Seafood
BRbL-mlsptkVp555Dun_6w,Ivy City SmokeHouse,4.0,469,True,DC,Bars
BS7iljqthqhLQxl6HSENNA,1400 North,3.5,4,False,DC,American (New)
BTOjO-rNIXpb-5OHuHqrHw,Restaurant Judy,4.0,233,True,DC,Salvadoran
BTOjO-rNIXpb-5OHuHqrHw,Restaurant Judy,4.0,233,True,DC,Mexican
BTqpk-XZ8Ee84zAObxSwhw,Wagshal's,3.0,96,False,DC,American (New)
BVpWHObDjpEc4AerPfMLOg,Bread & Chocolate,3.0,98,False,DC,Bakeries
BVpWHObDjpEc4AerPfMLOg,Bread & Chocolate,3.0,98,False,DC,Cafes
BVyRDgJDw7PHVzHRw3VRxQ,America Eats Tavern,3.5,148,False,DC,American (New)
BWIIMoxoIH4HqvVIPYpaCw,Subway,3.0,12,False,DC,Sandwiches
BWIIMoxoIH4HqvVIPYpaCw,Subway,3.0,12,False,DC,Fast Food
BbCcq2ytMynvyHRl799hNA,Roofers Union,3.5,406,True,DC,Bars
BbCcq2ytMynvyHRl799hNA,Roofers Union,3.5,406,True,DC,Burgers
BbCcq2ytMynvyHRl799hNA,Roofers Union,3.5,406,True,DC,Sandwiches
Bch34MLNwW_1STmglykZ_Q,Capital Chicken & Waffles,3.0,88,False,DC,Food Trucks
Bch34MLNwW_1STmglykZ_Q,Capital Chicken & Waffles,3.0,88,False,DC,Chicken Wings
Bch34MLNwW_1STmglykZ_Q,Capital Chicken & Waffles,3.0,88,False,DC,Soul Food
BdVRsLcc8_vCwi9LHjDHKA,Robert's Restaurant,3.0,58,False,DC,American (New)
BdVRsLcc8_vCwi9LHjDHKA,Robert's Restaurant,3.0,58,False,DC,Breakfast & Brunch
BdVRsLcc8_vCwi9LHjDHKA,Robert's Restaurant,3.0,58,False,DC,Seafood
BdjeuGpzAnyuk04Y-4dAeg,Pho Viet,3.0,17,False,DC,Vietnamese
BeCRL3E1aWuOxdeKGNribQ,Potbelly Sandwich Shop,3.5,126,False,DC,Sandwiches
BeCRL3E1aWuOxdeKGNribQ,Potbelly Sandwich Shop,3.5,126,False,DC,Fast Food
BeCRL3E1aWuOxdeKGNribQ,Potbelly Sandwich Shop,3.5,126,False,DC,Salad
BegXEli1c1Ja_APN7gLagg,BIBIBOP Asian Grill,4.0,110,False,DC,Korean
BegXEli1c1Ja_APN7gLagg,BIBIBOP Asian Grill,4.0,110,False,DC,Salad
BegXEli1c1Ja_APN7gLagg,BIBIBOP Asian Grill,4.0,110,False,DC,Fast Food
BiGKtUOjhib3rRxgE6HIXQ,Right Spot Restaurant & Bar,3.5,32,True,DC,Bars
BiGKtUOjhib3rRxgE6HIXQ,Right Spot Restaurant & Bar,3.5,32,True,DC,French
BiGKtUOjhib3rRxgE6HIXQ,Right Spot Restaurant & Bar,3.5,32,True,DC,American (Traditional)
BjBCJmsUpyk53yEcH-duNg,Mary's Place,4.5,19,False,DC,Diners
BjBCJmsUpyk53yEcH-duNg,Mary's Place,4.5,19,False,DC,Breakfast & Brunch
BjYOYDc1iDDAYNp_v9XkvA,Moruss Seafood & Crab House,3.0,30,False,DC,Seafood
BmufxdGAh6nBd9KEQTid8g,Adams Morgan Ethiopian Restaurant and Cafe,4.0,93,False,DC,Ethiopian
BmufxdGAh6nBd9KEQTid8g,Adams Morgan Ethiopian Restaurant and Cafe,4.0,93,False,DC,Cafes
BmufxdGAh6nBd9KEQTid8g,Adams Morgan Ethiopian Restaurant and Cafe,4.0,93,False,DC,Sandwiches
BmvJcw6GmkssAPQBOBf87A,Sunrise,1.0,1,False,DC,Caribbean
Bnt4uCB5bVVZdaMMpV2-dw,Sorriso Bistro,4.0,128,False,DC,Italian
Bnt4uCB5bVVZdaMMpV2-dw,Sorriso Bistro,4.0,128,False,DC,Breakfast & Brunch
BpdEWBvM1IMXyHzZBvLzOw,Olive Bistro Cafe,4.5,76,False,DC,Mediterranean
BpdEWBvM1IMXyHzZBvLzOw,Olive Bistro Cafe,4.5,76,False,DC,Breakfast & Brunch
Bq9ywSteEp_7ZgPGktbM9w,NuVegan Café,4.5,1029,False,DC,Soul Food
Bq9ywSteEp_7ZgPGktbM9w,NuVegan Café,4.5,1029,False,DC,Breakfast & Brunch
Bqp3deP_Fsizf-GeNO5WWg,Manny & Olga's Pizza,2.0,118,True,DC,Pizza
Bqp3deP_Fsizf-GeNO5WWg,Manny & Olga's Pizza,2.0,118,True,DC,Greek
Bqp3deP_Fsizf-GeNO5WWg,Manny & Olga's Pizza,2.0,118,True,DC,Sandwiches
Br1yuLCQqMwN8R6RMyXTmg,QDOBA Mexican Eats,3.0,104,False,DC,Mexican
Br1yuLCQqMwN8R6RMyXTmg,QDOBA Mexican Eats,3.0,104,False,DC,Fast Food
Bsbz4Imt_ZX4xWYuWRSPwA,618 Cocktail and Whiskey Lounge,4.0,9,True,DC,Cocktail Bars
Bsbz4Imt_ZX4xWYuWRSPwA,618 Cocktail and Whiskey Lounge,4.0,9,True,DC,American (New)
Bshdw-_kNCGcFLrq0dQukw,North Gate Grill,4.0,14,False,DC,American (Traditional)
Bshdw-_kNCGcFLrq0dQukw,North Gate Grill,4.0,14,False,DC,Breakfast & Brunch
BwpMPsnE9XJnjhucvPtYng,Horace & Dickies,3.0,98,False,DC,Seafood
Bzndj1PfsjNSvTi4IVuY9w,sweetgreen,4.0,198,False,DC,Salad
Bzndj1PfsjNSvTi4IVuY9w,sweetgreen,4.0,198,False,DC,Vegetarian
C-7dHsrYGVLt_xSBequ7ZQ,Little Pearl,4.0,182,False,DC,Coffee & Tea
C-7dHsrYGVLt_xSBequ7ZQ,Little Pearl,4.0,182,False,DC,Wine Bars
C-7dHsrYGVLt_xSBequ7ZQ,Little Pearl,4.0,182,False,DC,American (Traditional)
C-VgqU0LdSmvDWSQ_K3_ZQ,Sal's Cafe,2.0,41,False,DC,Cafes
C-zbsS4wlX5Z180MPutY1w,Roti Modern Mediterranean,3.5,100,False,DC,Mediterranean
C-zbsS4wlX5Z180MPutY1w,Roti Modern Mediterranean,3.5,100,False,DC,Vegetarian
C-zbsS4wlX5Z180MPutY1w,Roti Modern Mediterranean,3.5,100,False,DC,Salad
C1qQNGodMZI6MzKQ0XxLkw,Bel-Feast,4.5,38,False,DC,Food Trucks
C4NPRTTKxECtobZ4z9lahA,Convivial,4.0,588,False,DC,American (New)
C4NPRTTKxECtobZ4z9lahA,Convivial,4.0,588,False,DC,French
C4NPRTTKxECtobZ4z9lahA,Convivial,4.0,588,False,DC,Bars
C6xnI8KL2jSzBnZYddtvfw,The Halal Guys,3.5,130,True,DC,Middle Eastern
C6xnI8KL2jSzBnZYddtvfw,The Halal Guys,3.5,130,True,DC,Halal
C8sZ0mBWX3-waPWu8TQqCg,Cafe Aria,3.5,43,False,DC,Cafes
C8sZ0mBWX3-waPWu8TQqCg,Cafe Aria,3.5,43,False,DC,Pizza
C8sZ0mBWX3-waPWu8TQqCg,Cafe Aria,3.5,43,False,DC,Sandwiches
CA2TPqMaPHZpU64z4_UrEA,Ali Baba Mediterranean Grill Truck,2.5,12,False,DC,Food Trucks
CA2TPqMaPHZpU64z4_UrEA,Ali Baba Mediterranean Grill Truck,2.5,12,False,DC,Mediterranean
CNzBg4ipwVc8uB8OVGEYPQ,Panda Express,3.0,6,False,DC,Chinese
CNzBg4ipwVc8uB8OVGEYPQ,Panda Express,3.0,6,False,DC,Fast Food
CPMvwWST-HuJwK30XWG-qw,Dominic's of New York,2.5,5,False,DC,American (New)
CQHCeea9CzQfQxaSEYhoKQ,McDonald's,2.5,11,False,DC,Fast Food
CQHCeea9CzQfQxaSEYhoKQ,McDonald's,2.5,11,False,DC,Burgers
CQHCeea9CzQfQxaSEYhoKQ,McDonald's,2.5,11,False,DC,Coffee & Tea
CSMIDlfcNjetTIFppVHprw,Sculpture Garden Pavilion Cafe,3.5,143,False,DC,Cafes
CSMIDlfcNjetTIFppVHprw,Sculpture Garden Pavilion Cafe,3.5,143,False,DC,Sandwiches
CTW6UyXRR_i0ltvmqYxU3Q,Chicken To Go,5.0,2,False,DC,Breakfast & Brunch
CTW6UyXRR_i0ltvmqYxU3Q,Chicken To Go,5.0,2,False,DC,American (Traditional)
CTW6UyXRR_i0ltvmqYxU3Q,Chicken To Go,5.0,2,False,DC,Chicken Wings
CUdMdzv2aHDarw59h8VqHw,Northside Tavern,4.5,19,True,DC,American (New)
CVTkOGy_SLTGQuUhbrF1Rg,Susheria,4.0,85,False,DC,Latin American
CVTkOGy_SLTGQuUhbrF1Rg,Susheria,4.0,85,False,DC,Sushi Bars
CWb1DRN9WAFGE-jzwQtJTA,JoJo Restaurant and Bar,4.0,643,True,DC,Lounges
CWb1DRN9WAFGE-jzwQtJTA,JoJo Restaurant and Bar,4.0,643,True,DC,American (New)
CXqby-hgJGYkIf9vs72JSg,Bandit Taco,4.0,127,False,DC,Mexican
C_DBqeJPyel3eyvPLL8qSQ,Tokyo In The City,3.0,102,False,DC,Food Trucks
C_DBqeJPyel3eyvPLL8qSQ,Tokyo In The City,3.0,102,False,DC,Sushi Bars
C_DBqeJPyel3eyvPLL8qSQ,Tokyo In The City,3.0,102,False,DC,Japanese
C_RtaTr4_MoQBXvEIJrFUQ,Radici,4.0,94,False,DC,Salad
C_RtaTr4_MoQBXvEIJrFUQ,Radici,4.0,94,False,DC,Italian
C_RtaTr4_MoQBXvEIJrFUQ,Radici,4.0,94,False,DC,Sandwiches
C_skKmFvIELw69WdbNdyJA,Ben's Chili Bowl,2.5,122,True,DC,American (Traditional)
C_skKmFvIELw69WdbNdyJA,Ben's Chili Bowl,2.5,122,True,DC,Burgers
CbnrYh3kCXTfRuFmv3_-XA,Huacatay Peruvian Chicken,4.5,129,False,DC,Chicken Shop
CcBk_JXz9SkDNJKbNSk6jw,Atrium Cafe,3.5,41,False,DC,Sandwiches
CcBk_JXz9SkDNJKbNSk6jw,Atrium Cafe,3.5,41,False,DC,Breakfast & Brunch
CcUi93uw0pESiXr6v4037A,Slipstream,3.5,121,False,DC,Coffee & Tea
CcUi93uw0pESiXr6v4037A,Slipstream,3.5,121,False,DC,Breakfast & Brunch
CcUi93uw0pESiXr6v4037A,Slipstream,3.5,121,False,DC,Cocktail Bars
CdkHRWSgxoQ72vwL9vt8Jw,Shilling Canning,3.0,2,False,DC,Tapas/Small Plates
Cg0MKWG_XtN6thhZtLfnzw,Cosi,3.0,68,False,DC,American (New)
Cg0MKWG_XtN6thhZtLfnzw,Cosi,3.0,68,False,DC,Delis
Cg0MKWG_XtN6thhZtLfnzw,Cosi,3.0,68,False,DC,Sandwiches
CgoQsd5YS_-45Ttnjddk_w,Kitty O'Shea's DC,4.0,106,True,DC,Pubs
CgoQsd5YS_-45Ttnjddk_w,Kitty O'Shea's DC,4.0,106,True,DC,Burgers
ChmMtiBsgp5scXTMzJdtng,Stoney's on L,4.0,288,True,DC,American (Traditional)
ChmMtiBsgp5scXTMzJdtng,Stoney's on L,4.0,288,True,DC,Lounges
CjrYFQmQkSioWHp1QLGhRw,Cosmos Club,3.5,38,False,DC,Bars
CjrYFQmQkSioWHp1QLGhRw,Cosmos Club,3.5,38,False,DC,American (New)
CkBlDpBiY3K7abv-fF3pSQ,BIBIBOP Asian Grill,4.0,132,False,DC,Korean
CkBlDpBiY3K7abv-fF3pSQ,BIBIBOP Asian Grill,4.0,132,False,DC,Fast Food
CkBlDpBiY3K7abv-fF3pSQ,BIBIBOP Asian Grill,4.0,132,False,DC,Salad
