hours,id,name,price,rating,review_count,special_hours,state,cuisine
"[{'open': [{'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-ESAP9gRlC1OntkPp84W7w,Dunkin Donuts,$,2.0,16,,VA,Coffee & Tea
"[{'open': [{'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0400', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-ESAP9gRlC1OntkPp84W7w,Dunkin Donuts,$,2.0,16,,VA,Fast Food
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-EVnJSer0hd7vRq_ZodXhQ,The Pita House,$$,4.0,463,,VA,Middle Eastern
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-EVnJSer0hd7vRq_ZodXhQ,The Pita House,$$,4.0,463,,VA,Mediterranean
"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-H2XlHxdoe2jbnzL5nOong,Sophias Cafe,$,4.0,6,,VA,Breakfast & Brunch
"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-H2XlHxdoe2jbnzL5nOong,Sophias Cafe,$,4.0,6,,VA,Sandwiches
"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-H2XlHxdoe2jbnzL5nOong,Sophias Cafe,$,4.0,6,,VA,Cafes
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-HWp0CjPAEGKvbAqlBynDg,The Stray Cat Cafe,$$,3.5,121,,VA,American (Traditional)
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-HWp0CjPAEGKvbAqlBynDg,The Stray Cat Cafe,$$,3.5,121,,VA,Wine Bars
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-JdOButHwsdCxV7PocnSdg,Nando's PERi-PERi,$$,3.5,103,"[{'date': '2019-11-28', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2019-11-29', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2019-12-25', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2019-12-26', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}]",VA,Chicken Shop
"[{'open': [{'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0500', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-K2eWMSxttOqfC_e1jRrNQ,Cristis Deli & Bakery,$$$$,4.5,2,,VA,Delis
