id,name,rating,review_count,open_pass_midnight,state
3YsTAePGBKAxWNY3EaiprA,Five Guys,3.5,4,False,MD
3ZhfWl7vvXKNxmmctcFOAg,Gusto Farm To Street,4.0,193,False,MD
3_JkcKgupFjr0Uo_3RWYjA,Tommy Joe's,3.0,96,True,MD
3bJYX6KvaIQbfstrynY_oA,Sunrise Cafe,5.0,4,False,MD
3cWm3xgms4BlCk4uBUw-qA,29 Convenience Mart,3.0,5,False,MD
3hXFmtqasF0pTk_hSPsRcw,IHOP,2.5,97,True,MD
3hwQ-hYAQF2S2awq7V2JgQ,Subway,2.0,6,False,MD
3jQyVQafmqkMyZb6R9v1Sw,Johnny's Sub Shop,4.5,3,False,MD
3lHjYkWjgxoiE3h54LMojg,Grand Fusion,3.5,53,False,MD
3lLOjt2G5xtAqlrvqoPi_g,Pizza Boli's,1.5,20,True,MD
3oWpiTqG2EL4_yxDXFzgeQ,KFC,2.0,10,False,MD
3pca3kUj_0DZQIcdc8hH8A,Jetties,3.5,127,False,MD
3sBjq_ghN5OFgTjh5KTUQw,Papa John's Pizza,2.5,13,False,MD
3u_gXhKqE5d3eURrmSDPYA,Bella Mia Pizzeria,3.0,24,False,MD
3wIzcN-w1Pkad0KWCFbgDg,Jersey Mike's Subs,3.0,16,False,MD
3xyIuzSphccOekfzCFG6pA,Red Ginger,3.5,91,False,MD
40fbYd4zzxwJg9d-8LcHZg,Terrace Deli,3.5,16,False,MD
41u7HUFa0-w1Bg5vrvMkoA,La Bohemia Bakery,4.5,183,False,MD
45sNhLBUIYVtIhePaSQQNA,Subway,1.5,9,False,MD
470HqVhA4uzqW46AZxlghA,Japan Express,3.5,32,False,MD
48hu96YSvKCgs6U5tYOXmw,Nava Thai,3.5,554,False,MD
49aR5Wq1UjE2xPIlq1RNjw,Pollo Fiesta,3.5,47,False,MD
4CLRLOpVdj6sZFF_-BM4ww,Fireman's Cafe,4.0,51,False,MD
4Cf7_Ul_vpGU718IJDvbFQ,Island Zests,4.5,16,False,MD
4Ds0I0CFAOPQB6ClwwZCbQ,Muffin Man Caribbean Express,2.5,222,False,MD
4EAHGaY2wbkQma_yTBhLiQ,Busboys and Poets - Hyattsville,4.0,1106,False,MD
4K-s4k3muaxSf6Y2HoAWBA,Tower Cafeteria,5.0,1,False,MD
4LXoNMiPZCMyMiLV_wt-qA,Marketplace Cafe,3.5,61,False,MD
4OSV6VbQ14PfJ-FO8aJwSA,Johnny's Sub Shop,2.5,2,False,MD
4PKLWzb3lFKPHIwc_CkwFA,Panda Express,3.0,18,False,MD
4PKMQrBRrVum-SxC0Kjufw,K Town Bistro,4.0,173,False,MD
4QsG9u46h2F-Hx0c4mpKFA,QDOBA Mexican Eats,3.5,49,False,MD
4Uqcy1b2fxP3AAXuNkqzng,Keith & Sons Soul Food,3.5,100,False,MD
4WKYpsR0IxnZqm1m5p0WKQ,"Metropolitan Meat, Seafood, & Poultry",1.0,1,False,MD
4_jyjExsUcWCltYdhzWrYw,Seasons 52,3.5,613,False,MD
4b6WRfKzzHY0SPJbcgv2LA,Subway,2.0,4,False,MD
